issue_d,loan_amnt,int_rate,grade,sub_grade,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,total_acc,revol_bal,revol_util,loan_status,default_ind,age_of_loan_months,term_months,emp_length_num,emp_length_num_missing
2018-10-01,3000.0,8.46,A,A5,MORTGAGE,135000.0,Not Verified,major_purchase,AL,17.4,0.0,2.0,12.0,32.0,5531.0,69.1,Current,0,3,36,10,0
2017-06-01,9600.0,9.93,B,B2,RENT,31000.0,Not Verified,debt_consolidation,OH,33.18,0.0,1.0,16.0,21.0,4723.0,17.1,Fully Paid,0,19,36,5,0
2017-06-01,14000.0,11.99,B,B5,MORTGAGE,43000.0,Not Verified,credit_card,CA,3.6,0.0,1.0,2.0,5.0,7358.0,70.1,Current,0,19,36,10,0
2015-05-01,6000.0,13.33,C,C3,RENT,53000.0,Verified,debt_consolidation,WI,30.71,0.0,0.0,20.0,30.0,14792.0,73.6,Fully Paid,0,44,36,3,0
2018-02-01,6500.0,14.08,C,C3,RENT,48000.0,Not Verified,major_purchase,CT,19.76,0.0,0.0,12.0,19.0,10119.0,92.0,In Grace Period,0,11,36,5,0
2018-11-01,2000.0,7.56,A,A3,RENT,24000.0,Not Verified,debt_consolidation,PA,25.8,0.0,0.0,9.0,10.0,1860.0,62.0,Current,0,2,36,2,0
2015-12-01,16800.0,10.64,B,B4,MORTGAGE,50000.0,Not Verified,credit_card,MI,24.03,0.0,1.0,18.0,35.0,15928.0,37.5,Fully Paid,0,37,36,2,0
2017-05-01,15200.0,16.02,C,C5,RENT,65000.0,Source Verified,debt_consolidation,VA,16.65,0.0,1.0,10.0,33.0,5108.0,32.7,Fully Paid,0,20,36,5,0
2016-04-01,18075.0,14.46,C,C4,MORTGAGE,177000.0,Not Verified,car,FL,14.47,0.0,0.0,11.0,26.0,8001.0,39.8,Charged Off,1,33,36,10,0
2017-07-01,10000.0,9.44,B,B1,RENT,41000.0,Source Verified,debt_consolidation,OR,31.82,0.0,1.0,17.0,22.0,2998.0,21.1,Current,0,18,36,2,0
2017-09-01,3275.0,14.08,C,C3,MORTGAGE,54000.0,Source Verified,other,AZ,19.76,0.0,0.0,6.0,7.0,3372.0,57.2,Current,0,16,36,5,0
2017-08-01,40000.0,11.99,B,B5,MORTGAGE,280000.0,Source Verified,credit_card,TX,18.26,0.0,1.0,29.0,44.0,98735.0,72.0,Fully Paid,0,17,36,6,0
2017-12-01,20000.0,6.72,A,A3,OWN,92616.0,Source Verified,debt_consolidation,MO,8.97,0.0,0.0,10.0,12.0,3963.0,16.9,Current,0,13,36,10,1
2017-01-01,28000.0,14.99,C,C4,MORTGAGE,85000.0,Verified,debt_consolidation,HI,19.19,0.0,1.0,10.0,24.0,26422.0,55.9,Fully Paid,0,24,36,6,0
2017-07-01,19200.0,14.08,C,C3,OWN,64000.0,Verified,debt_consolidation,NV,26.4,0.0,1.0,15.0,35.0,17661.0,36.5,Fully Paid,0,18,60,5,0
2017-08-01,12000.0,7.35,A,A4,RENT,58000.0,Not Verified,debt_consolidation,OK,18.8,0.0,0.0,7.0,16.0,5715.0,44.3,Current,0,17,36,4,0
2016-01-01,20000.0,9.8,B,B3,RENT,56900.0,Verified,debt_consolidation,WA,22.51,0.0,1.0,4.0,23.0,6069.0,88.0,Fully Paid,0,36,36,10,0
2018-03-01,17000.0,7.34,A,A4,OWN,49824.0,Not Verified,credit_card,CA,4.36,0.0,0.0,5.0,8.0,6820.0,43.2,Current,0,10,36,10,1
2017-06-01,20000.0,9.93,B,B2,RENT,26000.0,Source Verified,debt_consolidation,MA,57.51,1.0,0.0,5.0,19.0,3396.0,20.8,Current,0,19,60,10,1
2015-11-01,19200.0,11.49,B,B5,RENT,55000.0,Source Verified,other,CA,11.83,0.0,0.0,8.0,28.0,7864.0,35.7,Fully Paid,0,38,60,3,0
2016-09-01,8100.0,17.99,D,D2,MORTGAGE,45000.0,Source Verified,other,IN,12.99,2.0,2.0,5.0,7.0,1306.0,24.2,Fully Paid,0,28,36,5,0
2016-05-01,12000.0,9.16,B,B2,MORTGAGE,130000.0,Source Verified,credit_card,LA,21.89,2.0,0.0,20.0,32.0,37693.0,87.5,Current,0,32,36,10,0
2018-03-01,5000.0,20.39,D,D4,RENT,35000.0,Not Verified,debt_consolidation,NV,30.93,0.0,0.0,10.0,11.0,5434.0,46.1,Current,0,10,36,4,0
2016-08-01,13000.0,12.79,C,C1,MORTGAGE,51000.0,Not Verified,debt_consolidation,WI,15.29,0.0,0.0,9.0,32.0,7893.0,50.0,Charged Off,1,29,60,10,1
2018-04-01,10000.0,12.61,C,C1,MORTGAGE,125000.0,Source Verified,other,TX,20.36,0.0,2.0,14.0,27.0,19818.0,72.6,Current,0,9,60,10,0
2017-06-01,12250.0,14.08,C,C3,OWN,35000.0,Not Verified,credit_card,CA,27.3,0.0,3.0,6.0,12.0,4442.0,34.0,Fully Paid,0,19,36,0,0
2017-11-01,35000.0,13.59,C,C2,MORTGAGE,108500.0,Not Verified,debt_consolidation,CA,14.24,0.0,1.0,14.0,24.0,7382.0,35.8,Fully Paid,0,14,36,7,0
2017-07-01,20000.0,11.99,B,B5,RENT,65000.0,Source Verified,debt_consolidation,MS,10.01,1.0,0.0,12.0,19.0,13465.0,66.7,Current,0,18,36,10,0
2016-08-01,30000.0,15.59,C,C5,MORTGAGE,170000.0,Verified,other,NY,2.75,0.0,3.0,23.0,32.0,11045.0,5.5,Charged Off,1,29,60,10,0
2015-06-01,18000.0,15.61,D,D1,RENT,50000.0,Source Verified,debt_consolidation,OR,32.0,2.0,1.0,7.0,28.0,20525.0,100.0,Fully Paid,0,43,36,0,0
2015-07-01,35000.0,19.99,E,E4,MORTGAGE,85000.0,Verified,debt_consolidation,NC,18.18,0.0,3.0,19.0,43.0,46934.0,73.3,Fully Paid,0,42,60,9,0
2018-10-01,6500.0,15.02,C,C3,MORTGAGE,45000.0,Source Verified,debt_consolidation,PA,15.6,0.0,1.0,7.0,8.0,1886.0,25.8,Current,0,3,36,3,0
2016-02-01,10000.0,9.75,B,B3,RENT,50000.0,Not Verified,debt_consolidation,CA,13.27,0.0,2.0,10.0,15.0,15790.0,56.4,Fully Paid,0,35,36,9,0
